,x_i,y_i,n = 2,delta2,n = 3,delta3,n = 4,delta4
0,0.0,,0.0,,0.0,,0.0,
1,0.1111111111111111,-0.09180540505149981,-0.056790123456790124,-0.03501528159470969,-0.07708634560486413,-0.01471905944663568,-0.09219699784651099,0.00039159279501117805
2,0.2222222222222222,-0.16670590330868507,-0.09382716049382717,-0.0728787428148579,-0.14213287361435512,-0.02457302969432995,-0.16782825554761938,0.00112235223893431
3,0.3333333333333333,-0.22514445868268673,-0.11111111111111109,-0.11403334757157564,-0.19244244244244252,-0.032702016240244214,-0.22703140331829785,0.0018869446356111208
4,0.4444444444444444,-0.2663788296781906,-0.10864197530864197,-0.15773685436954862,-0.22531791050309577,-0.04106091917509483,-0.26897126342833105,0.002592433750140455
5,0.5555555555555556,-0.2885750538127265,-0.08641975308641969,-0.20215530072630683,-0.23806213621028452,-0.050512917602442,-0.2918398502023161,0.003264796389589597
6,0.6666666666666666,-0.2888930669158114,-0.0444444444444444,-0.244448622471367,-0.22797797797797814,-0.06091508893783326,-0.29285637001966214,0.003963303103850735
7,0.7777777777777777,-0.26356514658712626,0.01728395061728394,-0.2808490972044102,-0.19236829422014634,-0.07119685236697992,-0.2682672213145907,0.0047020747274644226
8,0.8888888888888888,-0.20796780696086214,0.09876543209876543,-0.30673323905962757,-0.12853594335075835,-0.07943186361010379,-0.2133459945761348,0.005378187615272645
9,1.0,-0.1166877155084407,0.20000000000000007,-0.31668771550844077,-0.033783783783783994,-0.08290393172465671,-0.12239347234814091,0.0057057568397002045
